index,family,genus,scientific_name,common_name,type,count,coast
eDNA_taxon94,Cottidae,Ascelichthys,Ascelichthys rhodorus,rosylip sculpin,12s,26937,west
eDNA_taxon95,Cottidae,Clinocottus,Clinocottus acuticeps,sharpnose sculpin,12s,1842,west
eDNA_taxon96,Cottidae,CO4_Oligocottus_12S,Oligocottus maculosus_Oligocottus snyderi,tidepool sculpin_fluffy sculpin,12s,35496,west
eDNA_taxon97,Cottidae,Synchirus,Synchirus gilli,Manacled sculpin,12s,1088,west
eDNA_taxon98,Engraulidae,Engraulis,Engraulis mordax,California anchovy,12s,1140,west
eDNA_taxon36,Gadidae,GA1_Gadus_12S,Gadus macrocephalus_Gadus morhua_Gadus chalcogrammus,Pacific cod |Atlantic cod |Alaska pollock,12s,699,west
eDNA_taxon99,Gobiidae,Clevelandia,Clevelandia ios,arrow goby,12s,5103,west
eDNA_taxon100,Hexagrammidae,HE1_Hexagrammos_12S,Hexagrammos lagocephalus_Hexagrammos octagrammus_Hexagrammos stelleri,rock greenling_masked greenling_whitespotted greenling,12s,25082,west
eDNA_taxon101,Liparidae,Polypera,Polypera greeni,Lobefin snailfish,12s,957,west
eDNA_taxon102,Pleuronectidae,PL6_2genera_12S,Platichthys stellatus_Myzopsetta ferruginea_Platichthys flesus,starry flounder_yellowtail flounder_European flounder,12s,22230,west
eDNA_taxon103,Pleuronectidae,PL4_2genera_12S,Psettichthys melanostictus_Isopsetta isolepis,Pacific sand sole_butter sole,12s,20669,west
eDNA_taxon104,Sebastes,SE1_Sebastes_12S,14 Sebastes sp,,12s,1052,west
eDNA_taxon105,Sebastes,SE2_Sebastes_12S,Sebastes caurinus_Sebastes maliger,copper rockfish_quillback rockfish,12s,267,west
eDNA_taxon106,Sebastes,SE3_Sebastes_12S,Sebastes crameri_Sebastes variabilis,darkblotched rockfish_light dusky rockfish,12s,976,west
eDNA_taxon107,Sebastidae,Sebastes,Sebastes auriculatus,brown rockfish,12s,185,west
eDNA_taxon108,Stichaeidae,ST4_Anoplarchus_12S,Anoplarchus purpurescens_Anoplarchus insignis,high cockscomb_slender cockscomb,12s,43537,west
eDNA_taxon109,Stichaeidae,ST5_Chirolophis_12S,Chirolophis nugator_Chirolophis decoratus,mosshead warbonnet_decorated warbonnet,12s,941,west
eDNA_taxon110,Stichaeidae,Lumpenus,Lumpenus fabricii,Slender eelblenny,12s,277,west
eDNA_taxon111,Stichaeidae,ST3_Xiphister_12S,Xiphister atropurpureus_Xiphister mucosus,black prickleback_rock prickleback,12s,6946,west
eDNA_taxon112,Agonidae,Blepsias,Blepsias cirrhosus,silverspotted sculpin,12s,0,west
eDNA_taxon43,Ammodytidae,AM2_Ammodytes_16S,Ammodytes hexapterus_Ammodytes personatus,Pacific sand lance_Pacific sandlance,12s,0,west
eDNA_taxon113,Batrachoididae,Porichthys,Porichthys notatus,plainfin midshipman,12s,0,west
eDNA_taxon114,Gadidae,GA2_Gadus_16S,Gadus morhua_Gadus ogac |Gadus macrocephalus,Atlantic cod |Greenland cod |Pacific cod,12s,0,west
eDNA_taxon115,Gobiesocidae,Gobiesox,Gobiesox maeandricus,northern clingfish,12s,0,west
eDNA_taxon116,Gobiidae,Rhinogobiops,Rhinogobiops nicholsii,blackeye goby,12s,0,west
eDNA_taxon117,Hexagrammidae,Hexagrammos,Hexagrammos stelleri,whitespotted greenling,12s,0,west
eDNA_taxon118,Liparidae,Liparis,Liparis dennyi,marbled snailfish,12s,0,west
eDNA_taxon119,Liparidae,Liparis,Liparis florae,tidepool Snailfish,12s,0,west
eDNA_taxon120,Pholidae,Apodichthys,Apodichthys fucorum,rockweed gunnel,12s,0,west
eDNA_taxon55,Pleuronectidae,PL5_4genera_16S,Platichthys flesus_Platichthys stellatus_Pseudopleuronectes americanus_Parophrys vetulus_Lepidopsetta polyxystra_Lepidopsetta bilineata,European flounder_starry flounder_winter flounder_English sole_northern rock sole_rock sole,12s,0,west
eDNA_taxon121,Pleuronectidae,PL6_2genera_16S,Psettichthys melanostictus_Parophrys vetulus,Pacific sand sole |English sole,12s,0,west
eDNA_taxon122,Salmonidae,Oncorhynchus,Oncorhynchus nerka,sockeye salmon,12s,0,west
eDNA_taxon123,Salmonidae,Salmo,Salmo salar,Atlantic salmon,12s,0,west
eDNA_taxon124,Sebastidae,SE2_Sebastes_16S,Sebastes aleutianus_Sebastes borealis_Sebastes diploproa_Sebastes proriger,rougheye rockfish_shortraker rockfish_splitnose rockfish_redstripe rockfish,12s,0,west
eDNA_taxon125,Sebastidae,SE3_Sebastes_16S,Sebastes auriculatus_Sebastes caurinus_Sebastes maliger,brown rockfish_copper rockfish_quillback rockfish,12s,0,west
eDNA_taxon126,Sebastidae,SE5_Sebastes_16S,Sebastes ciliates_Sebastes crameri_Sebastes polyspinis_Sebastes reedi_Sebastes variabilis,dusky rockfish_darkblotched rockfish_northern rockfish_yellowmouth rockfish_light dusky rockfish,12s,0,west
eDNA_taxon127,Sebastidae,SE8_Sebastes_16S,Sebastes flavidus_Sebastes melanops,yellow tail rockfish_black rockfish,12s,0,west
eDNA_taxon128,Stichaeidae,Anoplarchus,Anoplarchus insignis,slender cockscomb,12s,0,west
eDNA_taxon129,Stichaeidae,Xiphister,Xiphister atropurpureus,black prickleback,12s,0,west
eDNA_taxon57,Agonidae,Agonopsis,Agonopsis vulsa,northern spearnose poacher,16s,271,west
eDNA_taxon58,Aulorhynchidae,Aulorhynchus,Aulorhynchus flavidus,tube-snout,16s,3818,west
eDNA_taxon59,Clupeidae,Clupea,Clupea pallasii,Pacific herring,16s,26567,west
eDNA_taxon60,Cottidae,Artedius,Artedius fenestralis,padded sculpin,16s,14841,west
eDNA_taxon61,Cottidae,Artedius,Artedius harringtoni,Scalyhead sculpin,16s,4016,west
eDNA_taxon62,Cottidae,Chitonotus,Chitonotus pugetensis,Roughback sculpin,16s,176,west
eDNA_taxon63,Cottidae,Enophrys,Enophrys bison,buffalo sculpin,16s,22678,west
eDNA_taxon64,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus,red Irish lord,16s,380,west
eDNA_taxon65,Cottidae,Leptocottus,Leptocottus armatus,Pacific staghorn sculpin,16s,336723,west
eDNA_taxon66,Cottidae,Myoxocephalus,Myoxocephalus polyacanthocephalus,great sculpin,16s,47088,west
eDNA_taxon67,Cottidae,Scorpaenichthys,Scorpaenichthys marmoratus,cabezon,16s,832,west
eDNA_taxon68,Embiotocidae,Brachyistius,Brachyistius frenatus,Kelp perch,16s,20078,west
eDNA_taxon69,Embiotocidae,Cymatogaster,Cymatogaster aggregata,shiner perch,16s,2370390,west
eDNA_taxon70,Embiotocidae,Embiotoca,Embiotoca lateralis,striped surfperch,16s,14484,west
eDNA_taxon71,Embiotocidae,Rhacochilus,Rhacochilus vacca,pile perch,16s,58209,west
eDNA_taxon15,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,three-spined stickleback,16s,39860,west
eDNA_taxon72,Gobiidae,Lepidogobius,Lepidogobius lepidus,bay goby,16s,2796,west
eDNA_taxon73,Hemitripteridae,Nautichthys,Nautichthys oculofasciatus,sailfin sculpin,16s,2071,west
eDNA_taxon74,Hexagrammidae,Hexagrammos,Hexagrammos decagrammus,kelp greenling,16s,6838,west
eDNA_taxon75,Hexagrammidae,Ophiodon,Ophiodon elongatus,lingcod,16s,3778,west
eDNA_taxon76,Merlucciidae,Merluccius,Merluccius productus,North Pacific hake,16s,5661,west
eDNA_taxon77,Osmeridae,Hypomesus,Hypomesus pretiosus,surf smelt,16s,8421,west
eDNA_taxon78,Paralichthyidae,Citharichthys,Citharichthys sordidus,Pacific sanddab,16s,436,west
eDNA_taxon79,Paralichthyidae,Citharichthys,Citharichthys stigmaeus,speckled sanddab,16s,6959,west
eDNA_taxon80,Pholidae,Apodichthys,Apodichthys flavidus,penpoint gunnel,16s,13262,west
eDNA_taxon81,Pholidae,Pholis,Pholis laeta,crescent gunnel,16s,157555,west
eDNA_taxon82,Pholidae,Pholis,Pholis ornata,saddleback gunnel,16s,119858,west
eDNA_taxon83,Pleuronectidae,Pleuronichthys,Pleuronichthys coenosus,C-O sole,16s,14427,west
eDNA_taxon84,Salmonidae,Oncorhynchus,Oncorhynchus gorbuscha,pink salmon,16s,2093,west
eDNA_taxon85,Salmonidae,Oncorhynchus,Oncorhynchus keta,chum salmon,16s,17468,west
eDNA_taxon86,Salmonidae,Oncorhynchus,Oncorhynchus kisutch,coho salmon,16s,2586,west
eDNA_taxon87,Salmonidae,Oncorhynchus,Oncorhynchus tshawytscha,Chinook salmon,16s,45656,west
eDNA_taxon88,Stichaeidae,Lumpenus,Lumpenus sagitta,snake prickleback,16s,1868,west
eDNA_taxon89,Syngnathidae,Syngnathus,Syngnathus leptorhynchus,bay pipefish,16s,305871,west
eDNA_taxon90,Ammodytidae,Ammodytes,Ammodytes personatus,Pacific sandlance,16s,0,west
eDNA_taxon91,Anarhichadidae,Anarrhichthys,Anarrhichthys ocellatus,wolf eel,16s,0,west
eDNA_taxon92,Bythitidae,Brosmophycis,Brosmophycis marginata,Red brotula,16s,0,west
eDNA_taxon30,Clupeidae,CL1_Alosa_12S,Alosa sapidissima_Alosa fallax,American shad_twaite shad,16s,0,west
eDNA_taxon93,Cottidae,Artedius,Artedius lateralis,smoothhead sculpin,16s,0,west
eDNA_taxon94,Cottidae,Ascelichthys,Ascelichthys rhodorus,rosylip sculpin,16s,0,west
eDNA_taxon95,Cottidae,Clinocottus,Clinocottus acuticeps,sharpnose sculpin,16s,0,west
eDNA_taxon96,Cottidae,CO4_Oligocottus_12S,Oligocottus maculosus_Oligocottus snyderi,tidepool sculpin_fluffy sculpin,16s,0,west
eDNA_taxon97,Cottidae,Synchirus,Synchirus gilli,Manacled sculpin,16s,0,west
eDNA_taxon98,Engraulidae,Engraulis,Engraulis mordax,California anchovy,16s,0,west
eDNA_taxon36,Gadidae,GA1_Gadus_12S,Gadus macrocephalus_Gadus morhua_Gadus chalcogrammus,Pacific cod_Atlantic cod_Alaska pollock,16s,0,west
eDNA_taxon99,Gobiidae,Clevelandia,Clevelandia ios,arrow goby,16s,0,west
eDNA_taxon100,Hexagrammidae,HE1_Hexagrammos_12S,Hexagrammos lagocephalus_Hexagrammos octagrammus_Hexagrammos stelleri,rock greenling_masked greenling_whitespotted greenling,16s,0,west
eDNA_taxon101,Liparidae,Polypera,Polypera greeni,Lobefin snailfish,16s,0,west
eDNA_taxon102,Pleuronectidae,PL6_2genera_12S,Platichthys stellatus_Myzopsetta ferruginea_Platichthys flesus,starry flounder_yellowtail flounder_European flounder,16s,0,west
eDNA_taxon103,Pleuronectidae,PL4_2genera_12S,Psettichthys melanostictus_Isopsetta isolepis,Pacific sand sole_butter sole,16s,0,west
eDNA_taxon104,Sebastes,SE1_Sebastes_12S,14 Sebastes sp,,16s,0,west
eDNA_taxon105,Sebastes,SE2_Sebastes_12S,Sebastes caurinus_Sebastes maliger,copper rockfish_quillback rockfish,16s,0,west
eDNA_taxon106,Sebastes,SE3_Sebastes_12S,Sebastes crameri_Sebastes variabilis,darkblotched rockfish_light dusky rockfish,16s,0,west
eDNA_taxon107,Sebastidae,Sebastes,Sebastes auriculatus,brown rockfish,16s,0,west
eDNA_taxon108,Stichaeidae,ST4_Anoplarchus_12S,Anoplarchus purpurescens_Anoplarchus insignis,high cockscomb_slender cockscomb,16s,0,west
eDNA_taxon109,Stichaeidae,ST5_Chirolophis_12S,Chirolophis nugator_Chirolophis decoratus,mosshead warbonnet_decorated warbonnet,16s,0,west
eDNA_taxon110,Stichaeidae,Lumpenus,Lumpenus fabricii,Slender eelblenny,16s,0,west
eDNA_taxon111,Stichaeidae,ST3_Xiphister_12S,Xiphister atropurpureus_Xiphister mucosus,black prickleback_rock prickleback,16s,0,west
eDNA_taxon112,Agonidae,Blepsias,Blepsias cirrhosus,silverspotted sculpin,16s,1526,west
eDNA_taxon43,Ammodytidae,AM2_Ammodytes_16S,Ammodytes hexapterus_Ammodytes personatus,Pacific sand lance_Pacific sandlance,16s,7055,west
eDNA_taxon113,Batrachoididae,Porichthys,Porichthys notatus,plainfin midshipman,16s,48899,west
eDNA_taxon114,Gadidae,GA2_Gadus_16S,Gadus morhua_Gadus ogac |Gadus macrocephalus,Atlantic cod_Greenland cod_Pacific cod,16s,1746,west
eDNA_taxon115,Gobiesocidae,Gobiesox,Gobiesox maeandricus,northern clingfish,16s,1247,west
eDNA_taxon116,Gobiidae,Rhinogobiops,Rhinogobiops nicholsii,blackeye goby,16s,5545,west
eDNA_taxon117,Hexagrammidae,Hexagrammos,Hexagrammos stelleri,whitespotted greenling,16s,37436,west
eDNA_taxon118,Liparidae,Liparis,Liparis dennyi,marbled snailfish,16s,185,west
eDNA_taxon119,Liparidae,Liparis,Liparis florae,tidepool Snailfish,16s,11617,west
eDNA_taxon120,Pholidae,Apodichthys,Apodichthys fucorum,rockweed gunnel,16s,684,west
eDNA_taxon55,Pleuronectidae,PL5_4genera_16S,Platichthys flesus_Platichthys stellatus_Pseudopleuronectes americanus_Parophrys vetulus_Lepidopsetta polyxystra_Lepidopsetta bilineata,European flounder_starry flounder_winter flounder_English sole_northern rock sole_rock sole,16s,40868,west
eDNA_taxon121,Pleuronectidae,PL6_2genera_16S,Psettichthys melanostictus_Parophrys vetulus,Pacific sand sole |English sole,16s,39903,west
eDNA_taxon122,Salmonidae,Oncorhynchus,Oncorhynchus nerka,sockeye salmon,16s,567,west
eDNA_taxon123,Salmonidae,Salmo,Salmo salar,Atlantic salmon,16s,188,west
eDNA_taxon124,Sebastidae,SE2_Sebastes_16S,Sebastes aleutianus_Sebastes borealis_Sebastes diploproa_Sebastes proriger,rougheye rockfish_shortraker rockfish_splitnose rockfish_redstripe rockfish,16s,279,west
eDNA_taxon125,Sebastidae,SE3_Sebastes_16S,Sebastes auriculatus_Sebastes caurinus_Sebastes maliger,brown rockfish_copper rockfish_quillback rockfish,16s,1834,west
eDNA_taxon126,Sebastidae,SE5_Sebastes_16S,Sebastes ciliates_Sebastes crameri_Sebastes polyspinis_Sebastes reedi_Sebastes variabilis,dusky rockfish_darkblotched rockfish_northern rockfish_yellowmouth rockfish_light dusky rockfish,16s,2704,west
eDNA_taxon127,Sebastidae,SE8_Sebastes_16S,Sebastes flavidus_Sebastes melanops,yellow tail rockfish_black rockfish,16s,4298,west
eDNA_taxon128,Stichaeidae,Anoplarchus,Anoplarchus insignis,slender cockscomb,16s,33332,west
eDNA_taxon129,Stichaeidae,Xiphister,Xiphister atropurpureus,black prickleback,16s,5971,west
west_seining_taxon01,Agonidae,Blepsias,Blepsias cirrhosus,Silverspotted Sculpin,seining,8,west
west_seining_taxon02,Ammodytidae,Ammodytes,Ammodytes personatus,Pacific Sandlance,seining,7,west
west_seining_taxon03,Aulorhynchidae,Aulorhynchus,Aulorhynchus flavidus,Tube-snout,seining,5,west
west_seining_taxon04,Batrachoididae,Porichthys,Porichthys notatus,Plainfin Midshipman,seining,532,west
west_seining_taxon05,Clupeidae,Clupea,Clupea pallasii,Pacific Herring,seining,298,west
west_seining_taxon06,Cottidae,Artedius,Artedius fenestralis,Padded Sculpin,seining,32,west
west_seining_taxon07,Cottidae,Artedius,Artedius lateralis,Smoothhead Sculpin,seining,61,west
west_seining_taxon08,Cottidae,Ascelichthys,Ascelichthys rhodorus,Rosylip Sculpin,seining,157,west
west_seining_taxon09,Cottidae,Clinocottus,Clinocottus acuticeps,Sharpnose Sculpin,seining,5,west
west_seining_taxon10,Cottidae,Enophrys,Enophrys bison,Buffalo Sculpin,seining,13,west
west_seining_taxon11,Cottidae,Leptocottus,Leptocottus armatus,Pacific Staghorn Sculpin,seining,69,west
west_seining_taxon12,Cottidae,Myoxocephalus,Myoxocephalus polyacanthocephalus,Great Sculpin,seining,3,west
west_seining_taxon13,Cottidae,Oligocottus,Oligocottus maculosus,Tidepool Sculpin,seining,533,west
west_seining_taxon14,Cottidae,Scorpaenichthys,Scorpaenichthys marmoratus,Cabezon,seining,1,west
west_seining_taxon15,Embiotocidae,Brachyistius,Brachyistius frenatus,Kelp perch,seining,6,west
west_seining_taxon16,Embiotocidae,Cymatogaster,Cymatogaster aggregata,Shiner Perch,seining,709,west
west_seining_taxon17,Embiotocidae,Embiotoca,Embiotoca lateralis,Striped Seaperch,seining,4,west
west_seining_taxon18,Embiotocidae,Rhacochilus,Rhacochilus vacca,Pile Perch,seining,6,west
west_seining_taxon19,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,three-spined Stickleback,seining,190,west
west_seining_taxon20,Gobiidae,Clevelandia,Clevelandia ios,Arrow Goby,seining,8,west
west_seining_taxon21,Gobiidae,Lepidogobius,Lepidogobius lepidus,Bay Goby,seining,7,west
west_seining_taxon22,Gobiidae,Rhinogobiops,Rhinogobiops nicholsii,Blackeye Goby,seining,53,west
west_seining_taxon23,Hexagrammidae,Hexagrammos,Hexagrammos decagrammus,Kelp Greenling,seining,2,west
west_seining_taxon24,Hexagrammidae,Hexagrammos,Hexagrammos stelleri,Whitespotted Greenling,seining,12,west
west_seining_taxon25,Liparidae,Liparis,Liparis sp.,Snailfish sp.,seining,7,west
west_seining_taxon26,Osmeridae,Hypomesus,Hypomesus pretiosus,Surf Smelt,seining,197,west
west_seining_taxon27,Paralichthyidae,Citharichthys,Citharichthys stigmaeus,Speckled Sanddab,seining,21,west
west_seining_taxon28,Pholidae,Apodichthys,Apodichthys flavidus,Penpoint Gunnel,seining,29,west
west_seining_taxon29,Pholidae,Apodichthys,Apodichthys fucorum,Rockweed Gunnel,seining,45,west
west_seining_taxon30,Pholidae,Pholis,Pholis laeta,Crescent Gunnel,seining,501,west
west_seining_taxon31,Pholidae,Pholis,Pholis ornata,Saddleback Gunnel,seining,276,west
west_seining_taxon32,Pleuronectidae,Parophrys,Parophrys vetulus,English Sole,seining,2,west
west_seining_taxon33,Pleuronectidae,Platichthys,Platichthys stellatus,Starry Flounder,seining,4,west
west_seining_taxon34,Sebastidae,Sebastes,Sebastes sp.,Quillback Rockfish,seining,1,west
west_seining_taxon35,Sebastidae,Sebastes,Sebastes sp.,Rockfish sp.,seining,2,west
west_seining_taxon36,Stichaeidae,Anoplarchus,Anoplarchus purpurescens,High Cockscomb,seining,47,west
west_seining_taxon37,Stichaeidae,Lumpenus,Lumpenus sagitta,Snake Prickleback,seining,2,west
west_seining_taxon38,Syngnathidae,Syngnathus,Syngnathus leptorhynchus,Bay Pipefish,seining,5145,west
